cohort,cohort_label,base_ta_c,base_rh_pct,mean_pmv_delta_open_minus_cellular,pmv_range_delta_open_minus_cellular,spatial_std_delta_open_minus_cellular,worst_ppd_delta_open_minus_cellular,perimeter_core_gap_delta_open_minus_cellular
realistic_mixed,Realistic Mixed Office,25.0,80.0,0.006,0.197,0.014,1.148,0.193
default_male_35,Default Male Baseline,25.0,80.0,0.007,0.41,0.094,6.29,0.159
realistic_male,Realistic Male Office,25.0,80.0,0.008,0.42,0.073,6.432,0.162
female_light,Female Light Office,25.0,80.0,0.001,0.552,0.083,5.854,0.222
older_mixed,Older Mixed Office,25.0,80.0,0.004,0.249,0.033,2.964,0.195
older_male_formal,Older Male Formal,25.0,80.0,0.008,0.434,0.081,1.258,0.17
older_female_light,Older Female Light,25.0,80.0,0.001,0.624,0.088,5.726,0.242
realistic_mixed,Realistic Mixed Office,28.0,35.0,0.017,0.279,0.018,9.827,0.186
default_male_35,Default Male Baseline,28.0,35.0,0.012,0.398,0.106,14.854,0.155
realistic_male,Realistic Male Office,28.0,35.0,0.012,0.429,0.088,14.927,0.159
female_light,Female Light Office,28.0,35.0,0.019,0.562,0.102,2.281,0.207
older_mixed,Older Mixed Office,28.0,35.0,0.015,0.302,0.037,1.882,0.189
older_male_formal,Older Male Formal,28.0,35.0,0.013,0.454,0.098,12.904,0.169
older_female_light,Older Female Light,28.0,35.0,0.019,0.626,0.107,4.849,0.225
realistic_mixed,Realistic Mixed Office,28.0,55.0,0.017,0.291,0.021,12.656,0.188
default_male_35,Default Male Baseline,28.0,55.0,0.012,0.401,0.108,17.914,0.157
realistic_male,Realistic Male Office,28.0,55.0,0.012,0.434,0.092,17.935,0.16
female_light,Female Light Office,28.0,55.0,0.019,0.566,0.106,11.643,0.209
older_mixed,Older Mixed Office,28.0,55.0,0.015,0.321,0.039,12.167,0.19
older_male_formal,Older Male Formal,28.0,55.0,0.013,0.458,0.1,16.943,0.171
older_female_light,Older Female Light,28.0,55.0,0.019,0.625,0.111,3.326,0.228
realistic_mixed,Realistic Mixed Office,28.0,75.0,0.018,0.301,0.023,14.77,0.188
default_male_35,Default Male Baseline,28.0,75.0,0.012,0.402,0.109,19.645,0.159
