PMV,PPD
1.1500000000000004,32.84120014998099
1.1600000000000001,33.31634210311597
1.17,33.794592529644916
1.1799999999999997,34.275897620452156
1.1900000000000004,34.76020223478602
1.2000000000000002,35.24744989918214
1.21,35.73758280734347
1.2199999999999998,36.23054182099793
1.2300000000000004,36.7262664717545
1.2400000000000002,37.22469496397751
1.25,37.72576417869924
1.2599999999999998,38.229409678588965
1.2699999999999996,38.73556571399737
1.2800000000000002,39.24416523009369
1.29,39.755139875112185
1.2999999999999998,40.26842000972488
1.3099999999999996,40.783934717554786
1.3200000000000003,41.30161181684493
1.33,41.821377873296164
1.3399999999999999,42.34315821408704
1.3499999999999996,42.86687694308651
1.3600000000000003,43.39245695727087
1.37,43.9198199643538
1.38,44.44888650163876
1.3899999999999997,44.9795759561001
1.4000000000000004,45.511806585699645
1.4100000000000001,46.04549554194308
1.42,46.58055889368048
1.4299999999999997,47.116911652152275
1.4400000000000004,47.65446779728221
1.4500000000000002,48.19314030521643
1.46,48.732841177107275
1.4699999999999998,49.27348146913776
1.4800000000000004,49.814971323782125
1.4900000000000002,50.35722000229603
1.5,50.90013591842864
1.5099999999999998,51.44362667334639
1.5199999999999996,51.98759909175772
1.5300000000000002,52.5319592592259
1.54,53.07661256065476
1.5499999999999998,53.621463719932336
1.5599999999999996,54.166416840712984
1.5700000000000003,54.71137544831946
1.58,55.25624253274257
1.5899999999999999,55.80092059271625
1.5999999999999996,56.34531168084199
1.6100000000000003,56.88931744973649
1.62,57.432839199173664
1.63,57.975777924191185
1.6399999999999997,58.51803436412861
1.6500000000000004,59.05950905256385
1.6600000000000001,59.6001023681118
1.67,60.13971458604832
1.6799999999999997,60.678245930719505
1.6900000000000004,61.21559662869606
1.7000000000000002,61.751666962629386
1.71,62.28635732576609
1.7199999999999998,62.81956827707362
1.7300000000000004,63.35120059693048
1.7400000000000002,63.881155343330974
1.75,64.40933390855461
1.7599999999999998,64.93563807624693
1.7699999999999996,65.45997007885859
1.7800000000000002,65.98223265538758
1.79,66.50232910936745
1.7999999999999998,67.02016336704484
1.8099999999999996,67.53564003568607
1.8200000000000003,68.04866446195336
1.83,68.55914279028903
1.8399999999999999,69.06698202124566
1.8499999999999996,69.57209006969862
1.8600000000000003,70.07437582287682
1.87,70.57374919814688
1.88,71.07012120048552
1.8899999999999997,71.56340397957278
1.9000000000000004,72.05351088644072
1.9100000000000001,72.54035652960923
1.92,73.02385683064261
1.9299999999999997,73.50392907905834
1.9400000000000004,73.98049198652065
1.9500000000000002,74.4534657402511
1.96,74.92277205558884
1.9699999999999998,75.38833422763234
1.9800000000000004,75.8500771818963
1.9900000000000002,76.3079275239165
2.0,76.76181358773741
