met,Ta,Tr,RH,v,thermal_load,PMV,PPD,pmv_factor
0.8,24.0,22.0,70.0,0.2,-32.87266917018517,-2.786625101464417,97.6836837913871,0.08477027183395952
0.8,24.0,26.0,30.0,0.05,-21.174282396830073,-1.7949496746683091,66.75892892410263,0.08477027183395952
0.8,24.0,26.0,30.0,0.1,-21.26548579685568,-1.802681011680661,67.15859850972709,0.08477027183395952
0.8,24.0,26.0,30.0,0.2,-27.48060673726649,-2.32953850328022,89.15241290980894,0.08477027183395952
0.8,24.0,26.0,50.0,0.05,-18.886623427272262,-1.6010242019554979,56.401048233804225,0.08477027183395952
0.8,24.0,26.0,50.0,0.1,-18.977826827297854,-1.6087555389678485,56.8216424023199,0.08477027183395952
0.8,24.0,26.0,50.0,0.2,-25.19294776770868,-2.1356130305674084,82.49297940187482,0.08477027183395952
0.8,24.0,26.0,70.0,0.05,-16.598964457714438,-1.4070987292426853,45.890512657958205,0.08477027183395952
0.8,24.0,26.0,70.0,0.1,-16.690167857740036,-1.4148300662550366,46.30376830600313,0.08477027183395952
0.8,24.0,26.0,70.0,0.2,-22.90528879815087,-1.9416875578545973,74.060562940703,0.08477027183395952
0.8,24.0,30.0,30.0,0.05,-10.543905426328266,-0.8938097291814079,21.868173351577013,0.08477027183395952
0.8,24.0,30.0,30.0,0.1,-10.543905426328266,-0.8938097291814079,21.868173351577013,0.08477027183395952
0.8,24.0,30.0,30.0,0.2,-17.12192969593017,-1.4514306346459445,48.27029081223967,0.08477027183395952
0.8,24.0,30.0,50.0,0.05,-8.256246456770441,-0.6998842564685954,15.301662984080764,0.08477027183395952
0.8,24.0,30.0,50.0,0.1,-8.256246456770441,-0.6998842564685954,15.301662984080764,0.08477027183395952
0.8,24.0,30.0,50.0,0.2,-14.834270726372345,-1.2575051619331319,38.103520657587644,0.08477027183395952
0.8,24.0,30.0,70.0,0.05,-5.968587487212623,-0.5059587837557835,10.351325779144716,0.08477027183395952
0.8,24.0,30.0,70.0,0.1,-5.968587487212623,-0.5059587837557835,10.351325779144716,0.08477027183395952
0.8,24.0,30.0,70.0,0.2,-12.546611756814528,-1.06357968922032,28.871901381098738,0.08477027183395952
0.8,24.0,34.0,30.0,0.05,0.4241865807169347,0.035958411755692365,5.02676745292878,0.08477027183395952
0.8,24.0,34.0,30.0,0.1,0.4241865807169347,0.035958411755692365,5.02676745292878,0.08477027183395952
0.8,24.0,34.0,30.0,0.2,-6.363018619652557,-0.5393948180724931,11.088519363186492,0.08477027183395952
0.8,24.0,34.0,50.0,0.05,2.7118455502747594,0.22988388446850488,6.096470249222875,0.08477027183395952
0.8,24.0,34.0,50.0,0.1,2.7118455502747594,0.22988388446850488,6.096470249222875,0.08477027183395952
0.8,24.0,34.0,50.0,0.2,-4.0753596500947324,-0.3454693453596806,7.482934302868387,0.08477027183395952
0.8,24.0,34.0,70.0,0.05,4.999504519832577,0.4238093571813168,8.745053613387753,0.08477027183395952
0.8,24.0,34.0,70.0,0.1,4.999504519832577,0.4238093571813168,8.745053613387753,0.08477027183395952
0.8,24.0,34.0,70.0,0.2,-1.7877006805369149,-0.1515438726468687,5.475882365296414,0.08477027183395952
0.8,26.0,18.0,30.0,0.05,-35.50791106068153,-3.010015272870031,99.1586257058037,0.08477027183395952
0.8,26.0,18.0,30.0,0.1,-36.83054059360379,-3.1221349379114742,99.53051178351505,0.08477027183395952
0.8,26.0,18.0,30.0,0.2,-39.97937195415839,-3.389062228304984,99.9067266414034,0.08477027183395952
0.8,26.0,18.0,50.0,0.05,-32.93052693743743,-2.791529720122097,97.73007963659484,0.08477027183395952
0.8,26.0,18.0,50.0,0.1,-34.25315647035968,-2.9036493851635394,98.60450422338626,0.08477027183395952
0.8,26.0,18.0,50.0,0.2,-37.40198783091429,-3.17057667555705,99.6411720075998,0.08477027183395952
0.8,26.0,18.0,70.0,0.05,-30.353142814193312,-2.573044167374162,94.8366862260464,0.08477027183395952
0.8,26.0,18.0,70.0,0.1,-31.67577234711556,-2.685163832415604,96.54536258608555,0.08477027183395952
